x,y
139,2226
2494,2589
2539,1916
2292,2610
2183,2653
2933,2384
2072,2338
334,2282
2823,2123
2250,2416
2042,2028
2141,2385
2105,1984
2614,1902
2430,2017
1879,2316
2656,2006
2818,2390
2364,2552
113,2011
1489,2218
2716,2052
2165,2044
2239,2285
122,2154
1854,2510
2511,2048
2105,1801
2574,2507
2595,2045
2049,1879
1499,2069
2919,2213
2225,1858
2673,2700
2632,2490
2756,2111
1808,1893
1941,2499
220,2158
2002,2302
2311,3018
2433,2582
174,2331
1716,2552
2162,2541
1912,2146
1535,2405
1969,1801
2743,2351
2532,2390
2241,2172
2119,2222
2718,2529
1763,2462
2813,3107
2903,2480
2272,2517
1568,2036
1711,2188
2266,1974
2411,2720
1739,2319
1915,1962
2396,2438
2358,1993
1980,2108
1870,2038
2173,2278
2744,2657
31,2418
1568,2222
2316,2251
1870,2415
2635,2285
2350,2677
1942,2363
2844,2257
1662,2244
1666,1922
1752,2062
1804,2172
2016,2410
2480,1901
1641,2129
2184,2110
41,2319
2231,2026
2595,2713
2580,2632
2505,2663
2250,2007
24,2130
2526,2633
2876,2243
2540,2708
