x,y
2153,1162
1420,520
1787,1185
835,66
1452,584
2179,1254
2231,1256
1918,959
1976,1148
1452,1038
1443,883
2199,1192
1102,384
1459,919
2206,1259
2208,1131
919,151
1258,546
1171,439
1609,1256
1866,1139
1514,819
1387,671
937,170
1035,266
1796,931
1969,990
2159,1206
1564,832
1411,680
899,135
1713,1172
2222,1164
1808,1205
1134,381
1856,1000
2040,1064
1695,956
1692,1198
1242,363
1052,319
1149,424
2185,1141
1324,750
2118,1135
1238,498
1505,926
1627,1236
1953,864
2154,1125
1093,297
1347,527
2082,1099
1410,876
1802,877
1723,834
1778,866
1731,975
858,79
1767,802
1566,1230
1932,900
1193,382
2100,1108
1186,463
1458,608
1469,1067
1109,306
1323,511
1211,489
1580,851
1978,869
2031,1118
1871,885
1612,697
1299,814
1704,879
1420,499
1745,927
1574,1210
1546,881
1814,1119
1739,795
1534,983
1008,218
1974,945
1554,914
1324,572
1681,1052
1356,470
1745,1118
2063,1195
1306,745
1598,484
975,203
1006,281
2143,1089
1637,1182
2220,1201
1266,493
1596,1016
883,97
1580,1137
2248,1196
1834,997
1771,1214
1385,909
1524,1103
1664,971
1407,981
1135,312
2012,1011
1353,802
905,102
1807,1032
1586,1106
2283,1220
1692,1247
2033,1203
1570,1011
1942,1089
1769,1038
1890,961
1289,396
1370,628
1696,921
2004,1210
1681,1175
1419,798
2003,1147
1466,683
1748,861
1672,1142
1234,439
1838,1185
1677,1277
1776,1117
1848,1066
2080,1214
1644,1041
1628,900
1600,1088
1908,1073
1705,1119
1903,874
1568,1065
1347,847
1373,576
1421,915
1444,716
1950,1172
1468,980
1410,554
1540,1113
1408,732
2241,1289
1886,1110
1373,803
1573,928
2106,1226
1976,1221
1425,752
1707,972
1824,937
1649,1135
1782,1150
1856,1091
1968,1017
1674,882
1283,449
1514,1075
1679,1095
1404,619
1637,1069
1990,1272
1411,1009
1534,839
1662,1215
1881,823
1859,951
1633,954
1404,596
1644,994
1579,1176
1911,1040
1649,1231
1065,224
1411,856
1379,590
1860,828
1910,1212
1494,970
1882,1170
1211,410
1522,1026
1864,1245
1555,1152
1376,942
1367,538
1440,677
1542,960
1609,1029
1527,1048
2065,1160
2171,1211
1419,829
2059,1142
1573,963
1955,1203
1916,1014
1251,392
1644,1096
1952,943
1489,1012
1905,929
1859,869
2263,1230
1138,337
1612,933
1933,1142
1817,972
1170,340
1835,882
1413,945
2063,1151
1587,961
1298,470
1904,1244
1824,952
1983,1087
1871,1157
1030,227
