x,y
2555,2183
1857,1566
1622,1778
2115,1851
2997,1758
1609,1967
1905,1828
3165,1619
1989,1626
1745,1606
1395,1289
1540,1963
3060,1671
1690,2180
2379,2144
1834,1792
3084,1607
2728,1836
2639,1799
1521,1520
2188,2200
1593,1559
2277,2091
1355,1212
2047,1705
2341,2173
2958,1705
1191,1667
2432,1331
1887,2195
2758,1666
1374,2245
1965,1862
1499,2180
2014,2154
2019,1647
1197,2238
1471,1950
1945,1323
2341,1328
2800,1800
3181,1754
1943,1440
1919,1167
2418,2087
1664,1834
2671,1750
2799,2184
1230,1929
2299,1887
1507,1423
1481,1589
2711,1724
1319,1856
1427,1709
1979,1498
2025,1322
3240,1720
1738,2544
1883,1360
2714,2225
1971,2193
2377,1663
1478,1637
1545,1549
2646,1204
2298,1795
2995,1628
1988,1774
1452,2235
2366,1775
1912,1648
2725,1237
3328,1713
1921,1757
2236,1802
1559,1816
1630,1908
1717,1896
1942,2231
1462,1816
1759,1820
2173,1170
2491,1201
2879,1585
2061,1861
2484,2179
2161,1947
2206,1244
2488,1793
1872,1267
2914,1685
2092,1759
2398,1992
1368,1955
2288,1209
1678,1371
1170,1519
2870,1717
2507,2068
1687,1736
1420,1481
2657,2133
1623,2235
1797,1606
2178,1329
2039,1820
1305,1494
2063,1424
2577,1382
1716,1534
2532,1667
1382,1160
2580,2055
2420,1816
1156,1940
2608,1173
1154,1785
1449,1424
2540,1795
2216,1116
1730,1465
1609,1455
3137,1724
1385,1883
1802,1387
1787,1297
1642,1342
1350,2610
1995,1305
2479,1899
1724,1371
1065,2262
1822,1488
1481,1183
1838,1019
2311,2053
2715,1167
3297,1641
2310,1694
1906,1105
2571,1771
2073,1224
2096,1341
2176,1817
1750,1352
1563,2200
1536,1208
2009,1218
2549,1205
2113,1257
1630,1116
1796,2132
2233,1333
1431,1193
1293,1215
2244,1222
2598,1685
2046,1114
1674,1246
2478,1723
2074,1093
2178,2096
1609,1521
3124,1688
2276,1126
2178,2154
2305,1319
2046,1383
2771,1718
1605,1165
2660,1670
2464,1666
2377,1124
2356,1189
2126,1201
1721,1097
1626,1417
2419,1283
2128,1127
1988,1121
2415,1696
2199,1403
2119,1318
1715,1208
1730,1148
1846,1379
1820,1220
2408,2605
1862,1151
1550,1111
1799,1188
1847,1141
1800,1254
2815,1609
2413,1168
1810,1239
2172,1787
1827,1586
1815,1200
2817,1703
1442,1123
