x,y
1281,145
1076,576
1250,451
1013,592
734,667
1210,348
1473,230
1119,234
1249,278
1088,290
1423,452
588,735
1364,451
1088,387
1325,239
679,599
1365,354
857,589
698,587
1108,140
1428,496
618,624
1341,156
809,567
796,691
513,741
826,646
1362,499
1620,421
535,727
1526,321
735,589
944,425
852,456
1185,226
1359,113
1022,662
1386,190
1168,201
1321,504
1147,258
1086,347
1286,317
774,571
761,503
1097,450
1439,419
793,582
652,587
1396,269
605,714
753,572
1257,507
1248,378
963,463
1229,344
1021,426
1220,107
1115,283
1037,422
1279,435
1386,439
1307,210
920,612
1536,257
1213,183
1311,351
1414,400
1600,275
1078,229
746,496
1461,89
718,702
784,643
1537,432
804,645
1429,352
899,452
1409,536
1095,564
1447,204
1207,290
1262,355
1039,591
1114,387
1509,511
1133,182
1382,104
982,430
1557,229
1137,329
1555,371
1385,338
1123,512
860,528
1299,340
1331,185
1451,462
1173,543
1109,432
710,669
998,412
1502,455
634,609
1636,353
828,562
900,526
1287,389
1088,487
1506,322
558,703
1079,185
1497,191
1194,436
1347,233
1083,411
1095,177
1236,302
1226,454
1479,143
1059,584
1569,287
1685,522
1185,328
1146,526
967,519
1162,116
940,531
1148,673
1123,429
1422,128
1320,303
787,501
1134,392
1403,187
1445,305
1172,433
1244,99
1323,449
607,544
1171,485
1396,559
1216,210
1090,149
1141,478
1390,150
1194,163
1396,387
1647,416
1462,306
1468,424
1375,382
915,516
1124,269
1189,488
1233,201
1361,198
458,881
1549,323
1067,487
1351,342
1271,283
501,895
1080,301
1468,202
1123,549
1425,316
1040,528
1341,295
1172,376
1422,255
112,985
1510,265
1358,400
1030,512
1333,346
1138,152
1339,623
1170,273
1384,228
1125,571
1275,460
1008,517
914,576
1401,493
1260,171
620,695
1539,460
1065,338
1302,439
1278,239
1119,332
886,568
891,480
1402,322
1150,420
890,630
752,658
1488,302
896,614
1022,693
984,481
1255,234
858,728
1426,524
1160,163
1083,253
877,517
1276,522
1210,534
1706,483
1152,281
1488,350
1005,470
1449,485
1469,346
947,574
1365,256
1270,208
1236,146
1682,417
1348,441
1220,237
1312,179
951,512
1236,498
1339,456
925,490
1253,147
528,865
1450,507
1307,401
1322,400
1411,222
867,772
1058,370
1495,273
1466,266
1208,134
1126,208
1380,300
1534,282
1632,242
1176,152
669,692
1067,387
1274,104
1480,266
1451,475
1269,373
1235,243
1200,131
1183,280
1079,325
1339,449
1486,258
