x,y
1215,2335
1411,2374
1287,2337
2469,1844
1910,2168
1526,2343
1477,2309
2651,1756
2722,2329
2726,1912
1937,2328
2395,2358
1476,2068
1430,2264
2559,1416
2556,2289
1445,1882
3016,1755
2816,1779
2416,1610
1868,1772
4784,2055
5024,1955
4719,2498
1586,2045
2884,1832
2829,2300
4699,2538
2637,2347
1937,1785
2977,1664
4611,2439
5311,2120
1804,1410
2156,2010
2249,1592
2508,2372
2341,2276
2946,1822
1843,2376
1582,1810
4176,2412
2945,2142
1647,1693
1612,1624
2813,1847
1348,2344
2032,1967
1110,1702
1786,2140
1620,2148
2389,1948
2084,1335
2770,2188
2380,1771
1998,1372
1409,1745
4435,2442
2675,1406
4747,1988
5090,2033
2666,1910
2690,2083
1075,1907
2900,2839
2309,1705
1140,2099
2643,1665
3185,1687
4751,1842
1906,1401
786,2202
2377,2067
1211,1988
2499,1398
2247,1770
2934,1974
1660,2322
4853,2071
3084,1733
3311,1937
3055,2304
2461,2000
1592,2318
1370,1967
4639,2017
1256,2143
2320,1975
4298,2411
2229,1722
4501,2510
4655,2288
1373,1621
1407,1391
2803,1944
5058,2371
4383,2393
973,2250
4586,1822
3286,2209
1636,1921
4252,2441
2030,1644
5001,2204
2083,1772
3281,1780
3312,2408
2134,2326
1714,1762
2482,1728
1653,1792
4396,2534
4514,2099
1903,1646
1844,2228
2601,2070
2155,1653
2660,1847
1550,1940
3139,1981
1784,1352
3256,2096
1230,1824
4495,2234
1474,1409
2545,1991
1322,1855
964,2110
2000,2103
1719,2061
2695,2228
1804,1982
1926,1913
2843,1637
1579,1436
2070,2119
2738,1669
3195,1929
2358,1447
2157,1775
1172,1874
3132,1800
1963,2131
4982,1806
1197,2212
2521,1622
2074,1854
4749,2453
2024,2358
1340,2173
2007,1745
2545,1824
2806,2041
949,1777
1632,2196
4493,1869
2249,2029
4870,1878
1702,2280
3009,2053
2305,1819
2001,2268
2594,2314
4549,2493
2151,2141
2246,2323
1804,1738
3058,1885
2415,1402
4978,2127
955,1843
2801,1727
1075,1843
1987,1907
1731,1899
1781,2285
1141,1741
2313,1769
4536,2315
1111,1781
4592,2030
2615,2341
