x,y
1618,1763
1494,1711
1783,1708
1188,2068
1481,1607
984,1724
1141,1480
1868,1659
1560,1679
1988,1522
2442,2547
967,1546
1743,1377
829,1633
2321,2558
1514,1616
1474,1509
1245,1477
1337,1693
2441,1632
1185,1536
1044,1744
1208,1710
1829,1691
1844,1253
1098,2240
1924,1519
1646,1349
1318,1534
1563,1519
1978,1754
1117,2370
2004,1968
1292,1615
1601,1341
1676,1677
1387,1544
847,1539
2301,2721
782,1439
1718,2362
962,1381
1267,1986
2259,1629
1138,1279
1093,1465
2218,1565
1604,1697
2152,1575
2088,1516
1436,1672
1405,1415
1353,1563
1580,1586
1032,1374
907,1328
1132,1192
2116,1668
1012,1166
2071,1668
2327,1572
2101,1584
1243,1192
936,1699
1932,1605
1753,1580
2333,1653
1948,1689
980,1320
883,1439
1480,1175
1257,1679
1445,1286
1424,1723
1732,1696
2010,1645
1749,1272
1059,1457
1203,1441
1890,1594
1693,1337
1622,1594
1353,1310
1486,1400
1066,1537
2206,1658
1735,1134
1505,1358
2035,1571
2055,1735
1348,1240
1636,1195
1799,1583
1451,1416
2160,1665
1833,1615
1443,1201
1395,1212
1169,1167
1213,1350
851,1403
1693,1176
1355,1423
1306,1327
1283,1239
1579,1397
1588,1252
1208,1313
1478,1253
1487,1331
1544,1218
1635,1249
903,1382
1103,1385
1305,1168
1068,2654
1651,1260
1117,1351
1721,1208
1667,1265
1712,1588
1815,1629
1537,1338
1274,1430
1722,1252
1321,1272
1218,1229
1307,1371
1557,1338
1566,1320
1729,1191
1226,1277
1247,1359
1970,1641
1633,1270
1392,1344
1150,1354
1561,1131
1546,1280
1415,1303
1517,1294
1902,1605
1707,1328
1204,1228
1617,1186
1207,1394
1666,1243
1033,1446
1986,1589
1678,1290
1496,1318
1726,1310
1733,1336
1298,1210
1572,1259
1376,1198
1670,1322
1707,1167
1892,1557
1573,1283
1345,1214
1500,1293
1223,1289
1262,1242
1670,1185
1175,1225
1235,1235
1491,1270
1455,1228
1729,1168
