x,y
3038,1646
2544,2156
1604,1951
1505,1513
1877,2176
2624,1189
2976,1737
2036,1691
2364,1642
3061,1581
1896,1813
1624,1899
3140,1598
2703,1218
1619,1768
2623,1779
1685,2164
2329,2149
2297,2031
1750,1808
2182,2173
1737,1593
2780,2158
2458,1709
1421,1695
1195,2227
2470,1188
2711,1815
1736,2525
2736,1640
1364,1154
1935,2205
2490,1880
1308,1847
1448,2221
1361,1946
2265,2071
2391,1967
1366,2230
1655,1819
2345,1754
2155,1159
1391,1265
2475,2152
1225,1918
3217,1694
2221,1782
1498,1414
2696,1704
2080,1743
1706,1522
1967,2179
1551,1806
2643,1653
2283,1777
2699,2191
2653,1731
2026,1804
2219,2569
2554,1365
2851,1560
1620,2210
2323,1309
1934,1429
2105,1836
1956,1843
2974,1607
1827,1780
1147,1775
1869,1353
1979,1764
1903,1157
2473,1783
3111,1705
2753,1694
3157,1732
1909,1742
2197,1105
1561,2182
1456,1806
2403,2069
1470,1584
1413,1470
2083,1332
1160,1514
1179,1660
2891,1666
1791,1377
2160,1312
1902,1627
2587,1157
1982,1292
2566,2030
1537,1302
2005,2137
1538,1954
2164,1702
1890,1091
1459,1944
2046,1413
1495,2166
1711,1882
2367,2120
2578,1667
2418,1317
2287,1870
1928,1316
1789,1597
1713,1360
3271,1613
2407,1803
2150,1928
2008,1313
2862,1783
2852,1698
2052,1845
2490,2041
2521,1638
2935,1682
1381,1873
2557,1752
2522,1768
2448,1650
1713,1458
3302,1684
2190,1230
1599,1448
1778,1288
2261,1115
2526,1191
1681,1724
1808,1475
2641,2109
1438,1415
2795,1591
1294,1448
1701,1089
1063,2252
2228,1211
2268,1193
1787,1084
1968,1486
1533,1543
1453,1170
1279,1209
1823,1008
1791,2115
1664,1360
1712,1140
1627,1333
2292,1670
1795,2187
1737,1336
2033,1370
2798,1685
1343,1212
1518,1208
2395,1270
1546,1250
1596,1522
1414,1188
1469,1628
1665,1240
1990,1632
2097,1248
1996,1205
2398,1674
1856,1260
2111,1121
2167,2132
1836,1369
2357,1110
1602,1159
2064,1087
1603,1224
1705,1200
1776,1245
1967,1119
2029,1107
1841,1136
1811,1214
1789,1183
2328,1206
1543,1103
1954,1629
2394,1156
2361,1158
1841,1559
1796,1229
