x,y
1211,2335
4772,2054
5019,1950
3013,1759
1408,2376
2153,2012
1647,1696
2718,2330
2393,2358
2467,1845
2718,1919
2554,2288
2973,1664
2635,2347
1906,2169
4717,2496
2412,1616
5307,2120
2830,2304
2673,1410
1935,1783
1932,2330
1866,1775
1472,2068
2810,1848
1103,1706
2666,1907
1570,1811
1426,2266
2942,2142
2649,1756
1581,2045
2555,1417
2508,2371
1073,1907
1475,2311
4697,2537
2763,2188
1780,2142
2317,1980
2030,1970
1442,1884
2340,2278
4433,2440
2882,1826
1407,1745
1608,1629
2495,1401
974,2248
1904,1402
3178,1689
2687,2084
5085,2034
1842,2377
1802,1410
2228,1723
1497,1752
1345,2342
1372,1622
1227,1821
2245,1594
4499,2509
1996,1375
2079,1337
1138,2102
4618,2431
2376,2067
3285,2211
4174,2414
2386,1946
2243,1772
786,2206
3312,2407
2811,1781
4585,1821
1662,2322
1924,1915
4639,2017
3081,1733
2539,2002
4745,1985
1367,1970
2597,2071
3312,1932
5054,2367
2806,2045
2970,2851
3280,1782
2132,2328
3053,2300
4852,2060
2074,1858
2949,1825
1541,1944
1405,1391
4295,2404
1841,2230
4748,1844
2000,2103
2378,1772
1210,1988
1314,1722
4507,2100
3213,1844
945,1779
4394,2532
4654,2285
1899,1646
1575,1434
2641,1658
4999,2204
3127,1803
1469,1416
1321,1856
958,2108
2928,1976
2518,1625
2078,1773
1290,2342
2148,1656
3141,1985
4387,2392
1617,2146
1253,2149
3251,2097
2461,2008
2029,1645
2067,2115
4489,2234
2353,1454
4540,2340
1076,1845
1716,2064
1959,2132
2804,1942
3008,2054
2477,1728
1637,1905
2543,1825
2006,1749
1165,1884
2156,1775
4978,1806
1651,1786
4747,2456
1701,1759
1721,1887
4544,2490
4969,2126
2688,2226
1191,2215
2778,1741
1981,1914
1998,2268
3197,1937
2835,1635
1338,2181
2247,2023
5130,1964
2240,2327
1623,2200
1987,1814
2414,1400
2022,2361
2304,1808
2149,2140
4485,1878
4862,1865
954,1846
4248,2441
1086,1793
3063,1890
1796,1773
2245,2167
1139,1743
1778,2290
2308,1707
1674,1730
2195,2024
4511,2291
