x,y
1357,706
1479,839
1435,838
1409,787
1735,744
1507,739
1434,726
1095,723
603,733
1463,726
1377,753
1230,697
1151,699
1798,750
257,721
701,761
636,720
1251,745
915,716
979,729
1562,691
486,776
842,750
868,777
519,822
1483,764
211,745
1183,751
1281,718
1107,764
293,829
280,763
1494,560
176,754
903,797
554,718
1886,741
514,762
1337,862
781,782
85,750
1419,545
1773,723
1704,739
1671,725
391,999
1586,742
1217,758
1457,544
643,812
391,820
23,772
346,748
1849,740
386,761
185,829
782,712
351,812
737,817
1272,803
1760,771
1165,727
1633,733
1821,727
755,760
1331,717
1241,1003
373,851
1545,746
219,791
593,784
424,792
1846,802
1400,694
420,723
523,736
252,789
459,805
672,790
1441,786
441,859
730,749
316,762
1397,849
954,749
803,968
120,768
140,758
560,787
1617,748
814,769
327,824
8,752
187,789
49,753
932,764
1904,742
661,766
1745,764
15,762
1501,743
966,740
