x,y
1869,1435
2768,1477
3287,1476
2092,1450
1456,1259
2228,1350
1871,1729
2668,1800
3281,1358
2594,1509
3177,1395
1840,1381
1959,1426
2415,1700
2171,1408
2112,1287
2599,1794
2532,1337
1959,1252
2632,1472
2143,1480
3345,1447
2283,1484
2317,1565
3035,1396
2099,1047
2327,1784
2367,2283
3108,1472
2011,1251
2228,1029
2052,1759
1714,1254
1781,1187
1429,1740
2748,1755
1791,989
1897,1351
2887,1820
3202,1338
2156,1027
1811,1764
1689,1525
2507,1751
2544,1714
2892,1000
1758,1162
1605,989
1597,1518
2169,1736
2623,1691
2203,1304
2540,1622
2734,1371
1947,1123
1811,1540
1561,1432
2681,1466
2893,1374
2134,1766
1474,1484
2852,1518
1761,1737
1585,1761
2663,956
2449,1669
3244,1443
2394,1446
2611,1060
2799,1897
1565,1136
1692,921
2030,1413
2059,1220
2451,1446
1915,1492
2375,907
2880,940
2110,1386
1751,1533
1706,1720
2723,958
2803,1434
2024,1067
3074,1418
1445,1138
2546,1478
1717,1218
2166,1291
2469,1780
2682,1352
1691,1406
1935,1185
1837,1493
1704,1078
2402,968
1662,1759
2257,1117
2179,1165
2522,1051
2204,1011
2447,1527
2737,1114
2236,1483
3431,1449
2458,1356
1410,1487
1308,1755
2034,1147
2446,956
2337,1455
2023,991
2419,865
2212,1453
1969,1697
3113,1354
2815,971
2842,1411
2287,937
3403,1389
2801,1371
1982,1023
1776,1414
1892,2032
2296,1051
2372,1039
2708,1446
2065,1063
1637,897
2492,1038
1615,1454
1757,1079
2781,938
2516,1427
2989,1419
2993,1502
2135,833
2595,1014
2077,763
2322,2114
2475,877
1788,902
2140,887
1677,1122
1871,824
2228,933
1657,851
2319,1693
1848,1109
1838,1163
2265,1400
2618,1406
2482,941
2948,1337
1575,888
2613,1349
2259,853
2323,1745
2315,978
2548,929
1917,943
1808,819
2336,868
1718,809
2115,969
2604,920
2563,1364
1864,869
2294,843
2543,959
2206,860
1954,913
2076,860
2524,958
1967,1041
2567,876
2204,914
2029,948
2055,925
1726,873
2024,891
2280,877
2207,891
2323,863
2041,935
2259,877
1813,940
2045,907
