x,y
1461,1751
2395,1859
3383,1938
3463,1747
2275,1929
986,1829
1661,1839
1141,1809
2298,1844
581,1771
2002,1692
3337,1813
1752,1876
2197,1873
1242,1800
2355,1811
2217,1632
1176,1818
1826,1831
1551,1740
3600,1770
3518,1814
2143,1812
527,1771
3671,1777
1447,1871
2403,1655
1531,1842
712,1756
3567,1774
2447,1641
2917,1806
1959,1739
1738,1712
929,1791
652,1809
3283,1796
1913,1780
1677,1514
2879,1618
2181,1619
1769,1808
2030,1815
2099,1697
1691,1730
2116,1605
1395,1757
894,1731
2349,1724
2411,1766
2294,1638
1063,1756
1514,1534
2844,1794
1624,1518
1331,1946
2194,1811
2126,1503
3236,1773
3010,1644
1679,1684
855,1746
1726,1522
1703,1792
2536,1830
1876,1682
2977,1788
3392,1800
2017,1549
1248,1612
1115,1797
2680,1799
3374,1736
805,1734
1883,1535
2256,1767
2451,1784
1944,1528
3060,1644
1802,1512
2493,1747
1358,1633
2754,1777
2200,1749
622,1781
2932,1613
1146,1617
1806,1649
3072,1759
2488,1618
3030,1800
2460,1842
2335,1626
1604,1630
2049,1695
3111,1763
1791,1507
1299,1808
2231,1519
2704,1769
1729,1645
1714,1634
1760,1508
2593,1618
1903,1664
2083,1539
2824,1620
2380,1612
1350,1619
2964,1629
2255,1815
1289,1618
3409,1737
2739,1820
2302,1519
1202,1617
2629,1609
2541,1751
2122,1512
2364,1615
1666,1480
3089,1759
2543,1766
1907,1497
744,1775
2273,1517
1668,1653
1599,1517
1830,1503
2115,1504
1678,1501
1761,1648
1813,1515
2142,1621
2131,1617
2394,1520
2560,1620
3521,1786
2085,1507
1774,1619
1830,1483
2570,1816
2173,1518
767,1778
1781,1491
1946,1483
2265,1619
2131,1463
1931,1510
1715,1565
2782,1778
2165,1757
1955,1484
1655,1630
1065,1805
1982,1512
1900,1490
2363,1518
828,1783
1788,1483
1980,1523
2033,1500
1578,1512
1664,1469
2535,1618
627,1796
2395,1727
2773,1611
2172,1495
2251,1517
1574,1496
2146,1653
1714,1618
2179,1509
2067,1537
1665,1515
1844,1498
1760,1589
1388,1631
1739,1513
1975,1493
1769,1602
2572,1616
755,1762
2427,1769
1638,1621
1930,1499
2803,1784
1982,1464
1671,1669
2093,1463
2065,1527
1549,1498
2067,1508
1983,1487
2088,1472
2863,1784
2316,1518
2033,1513
1630,1470
2080,1528
1975,1456
2076,1498
1916,1506
1930,1484
1918,1492
1895,1498
2031,1481
1910,1524
2057,1519
1710,1466
1739,1474
2828,1786
1749,1509
1969,1480
1622,1504
2510,1747
1985,1474
1678,1490
1634,1498
2294,1774
1940,1493
1557,1513
1839,1516
1880,1489
1868,1490
2076,1465
1679,1471
3067,1775
2524,1746
1959,1602
1757,1527
1850,1489
1991,1493
1716,1478
820,1815
2077,1515
1766,1490
1899,1531
2163,1484
1712,1517
1963,1458
1921,1518
2721,1772
639,1773
1648,1470
1429,1630
666,1739
