x,y
1915,370
1019,986
1469,785
1589,458
1254,1065
1615,523
1983,436
1837,567
1124,1111
1450,497
1126,968
3692,667
1615,298
1312,1021
1180,1010
1442,306
3698,489
3727,362
1848,221
1509,1017
2165,474
1395,962
3579,292
3790,504
865,1007
1863,677
3691,196
1721,1513
1768,473
957,1031
3783,321
3523,331
1541,962
1735,317
1318,375
1255,751
3594,182
3805,141
1459,1060
1306,861
1300,605
3590,485
1699,503
2024,566
1447,416
1320,494
2031,380
1906,808
3766,340
3824,431
1532,931
3800,420
3488,252
1506,1120
3524,464
1481,1056
3522,258
1631,1019
981,902
3645,194
