x,y
1751,268
1668,172
1379,462
767,496
1725,601
1821,509
1659,770
1541,800
1003,229
1248,708
1876,365
1700,760
1616,784
679,567
656,512
1543,721
510,287
182,440
1472,450
1256,617
1255,758
380,409
1314,673
1505,795
1717,792
1167,350
1699,483
43,807
1546,543
1162,618
886,829
1491,523
1463,273
1684,446
1301,759
561,343
1667,699
1529,291
467,857
1596,365
1400,593
856,664
874,460
910,310
398,719
1644,693
1274,558
825,269
1104,743
1396,540
44,738
418,528
1371,663
1463,190
466,726
1296,647
352,520
248,515
1160,680
636,558
322,713
499,850
470,298
471,589
958,912
488,567
1596,509
1568,812
1502,353
628,297
1163,234
282,387
1273,626
559,716
1004,735
1261,539
1551,384
1026,707
1189,689
1331,419
1249,467
238,712
1342,573
677,646
1432,580
754,562
1733,158
1622,655
305,529
829,691
1621,515
1906,172
1553,738
1459,596
1736,461
1547,464
975,292
837,195
1633,580
462,430
1437,667
1302,823
1343,694
282,778
1772,157
740,401
1066,241
603,621
1646,412
1440,339
271,440
1163,751
806,449
999,518
655,727
1045,433
1228,609
1033,832
1793,503
1377,167
1129,168
1491,753
725,695
217,723
1063,836
539,318
1772,578
1293,432
882,336
1230,509
1267,802
950,522
1806,283
164,768
553,521
1534,354
648,474
1745,834
698,486
1350,840
337,788
1523,692
1192,518
1682,571
1597,443
1766,767
1462,766
134,748
1019,280
898,404
1700,684
355,751
1097,319
671,348
1861,143
1504,675
1786,691
184,481
827,1009
1758,700
757,695
1085,296
1662,291
897,236
1585,743
274,710
1584,241
1741,528
1572,201
1131,679
1027,775
1894,508
592,730
1572,614
1092,223
784,269
1407,358
503,488
120,703
1901,750
637,368
1072,432
1906,613
1118,494
926,372
1713,286
1612,732
1516,245
525,425
715,385
505,712
245,547
840,340
470,403
218,765
289,755
564,367
1802,207
465,513
1412,762
1856,758
1731,676
1662,809
553,462
784,364
1287,343
396,459
1872,264
1631,269
1167,523
1438,703
1096,438
1402,243
1366,786
858,499
1217,380
1706,359
711,321
1402,161
720,288
1801,808
1800,259
1016,825
599,471
623,747
1868,534
1425,430
1340,264
1692,188
521,561
1016,428
1814,137
1091,705
1056,379
1813,579
1817,978
1458,707
418,380
395,576
1815,771
726,255
1484,979
1477,652
1876,706
1827,316
747,521
508,361
1338,775
154,483
631,679
1361,437
484,360
1127,768
982,359
761,751
1218,430
1401,210
350,419
1215,325
1169,434
964,425
1456,248
1196,742
801,762
1627,366
1257,442
926,757
1443,768
1675,627
1909,352
1406,665
1749,352
438,493
630,432
1891,427
813,360
71,729
1207,797
1309,328
1583,317
1887,167
842,394
1657,513
385,341
986,420
1676,368
1757,407
425,438
1190,415
868,392
1374,741
913,801
1032,550
1388,308
1336,223
1793,349
682,322
1496,594
1259,220
1031,354
1910,455
1376,274
96,738
393,315
1405,324
652,357
1255,290
1323,453
1847,332
1849,707
361,712
318,392
1246,267
1220,234
1903,693
1601,268
277,411
18,749
1407,272
412,350
1334,289
1879,219
446,365
1875,210
840,302
1909,368
1003,425
1674,406
1390,276
