x,y
1744,616
1661,1050
2079,702
1869,421
1756,756
1745,312
1881,604
1655,985
1836,358
1984,876
1687,559
1785,831
1574,914
1671,1083
1543,848
2142,633
1679,944
2243,1102
1906,377
1519,411
1570,869
1742,849
1755,525
1793,663
1709,330
2226,769
1647,532
1798,867
1731,530
2303,830
1564,654
1742,1063
2355,575
1822,490
1993,558
1423,839
2064,987
2027,937
1840,513
1942,957
1541,801
2224,693
1954,1013
1913,995
1792,967
2129,703
1558,712
2078,768
1878,673
1737,584
1829,447
1922,424
1881,319
2084,804
1990,525
1932,454
1965,342
1497,903
1440,793
2290,883
1918,647
1702,1124
1682,489
1652,406
1517,624
1821,1070
1733,1003
1764,1108
1714,406
1701,721
1551,743
1783,1055
2095,909
1948,691
1995,352
1491,773
1730,980
2296,654
1857,896
1984,416
1663,788
1486,659
1656,660
1962,897
1993,736
1802,340
1930,327
1623,610
1998,463
1866,764
1966,823
2043,838
1606,848
1881,935
1748,711
1635,930
1921,854
1856,329
1835,398
1839,882
1585,1031
1986,1003
1761,429
1622,714
1870,807
1840,612
1987,633
1862,842
1839,541
1781,915
2150,695
1931,580
1783,689
1986,598
1586,680
1978,295
1791,593
1767,1016
1588,1104
2172,1019
1922,774
1769,500
1940,523
1761,389
2629,461
1694,818
1654,863
1850,584
1838,983
1660,495
1721,469
1870,1036
1689,619
1811,1015
1725,923
1936,387
1921,620
2072,875
2070,650
1824,718
2050,716
1931,488
1844,669
1640,674
1606,987
1623,740
2102,951
1989,798
1899,544
1547,953
1986,764
1602,791
1781,771
1875,964
2163,950
1947,912
1619,789
2020,383
1689,660
2264,757
1894,727
2082,785
1668,959
1861,825
1942,726
1673,845
1602,561
1563,932
1580,978
2015,724
