x,y
2398,943
547,894
2771,1382
344,835
463,1050
2737,1353
300,966
2071,1217
2389,1339
2772,1203
2095,1054
3028,1121
165,1221
427,977
2424,1140
2846,1239
2485,1309
1900,982
2539,1258
2314,832
301,1015
3005,978
2116,635
2221,1132
2901,906
208,846
2828,1376
544,774
2681,1343
2456,1224
38,1283
2830,856
1927,1238
469,1127
1813,976
2635,728
2578,717
2010,936
2659,1296
2006,1326
1765,811
2202,1044
196,1361
2745,811
2552,814
1781,1110
2064,827
599,1042
476,1243
2209,810
735,986
2844,900
163,1406
2937,1131
2944,1014
2353,680
579,947
195,995
1736,850
2690,729
1992,704
2259,790
2604,1286
1672,1988
2557,1160
1944,940
2096,923
2156,1200
2601,1397
2312,977
2666,1140
33,1414
2545,920
2468,1004
428,847
2411,1029
3017,1200
2327,1108
88,1364
2444,764
2618,838
2851,1090
2172,700
25,1189
63,1087
2120,795
2244,636
2349,1247
142,1437
365,1000
641,895
1982,841
1973,1059
1738,965
196,933
2269,1081
2149,1079
2485,795
2071,1139
2349,899
2530,1671
1867,863
2159,877
2896,1345
110,899
2693,844
2756,1037
2540,1353
2719,1222
2365,751
1873,726
2315,752
75,1005
2403,766
1896,859
1777,970
2972,994
2402,981
